Código	Descripción
00000	Dato No Disponible
01000	ÁLAVA
02000	ALBACETE
03000	ALICANTE
04000	ALMERIA
05000	AVILA
06000	BADAJOZ
07000	BALEARES
08000	BARCELONA
09000	BURGOS
10000	CACERES
11000	CADIZ
12000	CASTELLON
13000	CIUDAD REAL
14000	CORDOBA
15000	CORUÑA(A)
16000	CUENCA
17000	GERONA
18000	GRANADA
19000	GUADALAJARA
20000	GUIPÚZCOA
21000	HUELVA
22000	HUESCA
23000	JAEN
24000	LEON
25000	LERIDA
26000	RIOJA (LA)
27000	LUGO
28000	MADRID
29000	MALAGA
30000	MURCIA
31000	NAVARRA
32000	ORENSE
33000	ASTURIAS
34000	PALENCIA
35000	PALMAS(LAS)
36000	PONTEVEDRA
37000	SALAMANCA
38000	SANTA CRUZ DE TENERIFE
39000	CANTABRIA
40000	SEGOVIA
41000	SEVILLA
42000	SORIA
43000	TARRAGONA
44000	TERUEL
45000	TOLEDO
46000	VALENCIA
47000	VALLADOLID
48000	VIZCAYA
49000	ZAMORA
50000	ZARAGOZA
51000	CEUTA
52000	MELILLA

